Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Guam,GUM,"Population ages 0-14, total",SP.POP.0014.TO,28035,29205,30117,30786,31295,31752,32247,32806,33416,34069,34773,35419,35920,36266,36475,36593,36745,36969,37193,37513,38049,38685,39216,39587,39764,39781,39834,40029,40385,40963,41827,42794,43668,44474,45198,45858,46468,46998,47487,47995,48450,48735,48851,48810,48586,48217,47784,47330,46923,46640,46257,45605,44864,44149,43506,42962,42517,42165,41894,41688,41881,42432,42926,43325
Guyana,GUY,"Population ages 0-14, total",SP.POP.0014.TO,266470,273925,281968,289636,296825,303417,309386,314751,319587,323995,327522,329955,331887,333371,334167,334332,333960,333164,332012,330625,328964,325556,320325,314577,308491,302271,296130,290313,285043,280471,276667,274454,274065,274435,275101,276041,277102,278168,279107,279714,279826,279240,277889,275777,272703,268623,263695,258326,252854,247186,241329,235532,231923,230647,229900,229701,230029,230858,233577,236277,237938,240084,241586,242313
High income,HIC,"Population ages 0-14, total",SP.POP.0014.TO,264261907,268031081,269938882,271366760,272348710,272968900,273133319,273242603,273403927,273023676,272273395,271915116,271132349,269938892,268466204,266706868,264657318,262660445,260762669,259121253,257927672,257259261,256613162,255811491,254859919,253672858,252419076,251393958,250821110,250439710,249690336,249205202,248781500,248071062,247000790,245530030,243953056,242262173,240278576,238193296,236224180,234255540,232271510,230420628,228636204,226835252,225380483,224605365,224570664,224778931,224600577,224692031,225222850,226000861,226780822,227773295,228683500,229228828,229155813,228652353,228273213,225900503,224394729,222417931
"Hong Kong SAR, China",HKG,"Population ages 0-14, total",SP.POP.0014.TO,1264429,1337774,1503101,1690459,1540293,1382492,1397266,1629486,1816381,1649720,1521954,1447699,1421891,1414614,1409086,1382689,1346248,1311687,1280267,1298156,1286295,1283849,1283574,1285654,1280652,1275763,1270084,1257647,1242782,1230978,1210047,1195479,1182197,1178597,1178244,1169510,1193784,1183559,1170825,1154132,1131715,1109783,1088757,1056132,1026110,987243,952059,929287,909856,884152,859027,837297,834743,835939,839575,841491,843335,854159,862987,862130,843644,821564,801545,806289
Honduras,HND,"Population ages 0-14, total",SP.POP.0014.TO,969317,1004287,1039036,1073352,1106778,1139918,1173891,1208629,1244158,1280709,1318621,1358140,1399440,1441799,1480541,1520024,1565121,1612251,1660952,1711037,1762159,1813962,1866331,1919148,1971989,2024270,2075874,2127210,2182440,2240682,2297178,2352380,2407238,2462087,2516877,2571851,2626866,2681439,2730684,2779853,2834517,2888258,2938162,2983678,3025550,3063361,3096138,3124249,3148303,3168570,3184814,3197584,3208208,3216631,3222156,3224929,3226906,3230123,3236327,3245529,3256543,3269639,3284230,3299494
Heavily indebted poor countries (HIPC),HPC,"Population ages 0-14, total",SP.POP.0014.TO,70623518,72540493,74532189,76643994,78873755,81200188,83607970,86116388,88737477,91444932,94258490,97180248,100169919,103294446,106489487,109692856,112997765,116303668,119807408,123442371,126679043,129736616,133217079,136996368,140861864,144811009,148793199,152930656,157273210,161822969,166311655,170746108,175724730,181370410,186644842,191894604,197878167,203914356,209773935,215592633,221271069,227034316,233344402,239857153,246278918,252935235,259833030,266560453,273291369,280158345,286980135,293855714,300897024,308106289,315550235,323051696,330580302,338263980,345976291,353676950,361377342,368903281,376126176,383245264
Croatia,HRV,"Population ages 0-14, total",SP.POP.0014.TO,1118348,1121899,1123235,1119084,1110458,1099875,1088068,1074501,1059274,1042240,1023581,1008518,999138,992397,986918,982258,978698,976272,975121,974054,971211,969576,971371,974241,976932,978667,977246,972349,965371,956383,945883,914683,876933,864611,856710,833809,808268,793233,783554,771414,755876,719431,710383,699933,689812,682902,675732,669433,665351,661528,656923,648162,637190,627028,617660,607091,598712,588865,581030,574044,565672,557799,551392,545704
Haiti,HTI,"Population ages 0-14, total",SP.POP.0014.TO,1568188,1598877,1630992,1661850,1693910,1728231,1761808,1795361,1829196,1863311,1897675,1932789,1969514,2007840,2047518,2088797,2131527,2175474,2220447,2266056,2312603,2360626,2410453,2462054,2515469,2571053,2628401,2687003,2746973,2807826,2869009,2929204,2986913,3041922,3094054,3143930,3191936,3237575,3280384,3320324,3358253,3392391,3420825,3445055,3464202,3480000,3496364,3513460,3531426,3550881,3553279,3554678,3571667,3586075,3599102,3610921,3622484,3635059,3646959,3657195,3665606,3670919,3673388,3674182
Hungary,HUN,"Population ages 0-14, total",SP.POP.0014.TO,2527723,2521174,2496451,2455405,2412871,2367562,2324508,2291474,2256621,2206954,2153624,2112054,2091212,2088388,2108667,2152709,2201610,2250779,2294731,2328194,2351041,2363555,2362613,2346494,2324148,2304485,2288004,2268435,2242960,2178564,2097907,2042894,1995917,1952185,1912807,1878341,1845586,1813557,1783611,1752997,1719420,1682572,1650174,1623201,1596280,1569894,1544834,1522512,1503930,1487890,1470104,1452397,1436118,1428880,1427024,1426368,1424164,1422738,1422005,1421664,1419394,1414272,1403314,1389472
IBRD only,IBD,"Population ages 0-14, total",SP.POP.0014.TO,751385082,761306053,778009679,803309726,827313097,847864641,867707037,884786410,901929988,920483269,938168195,956165193,972429647,988213336,1005719496,1023051972,1039749576,1051243717,1054926479,1058109452,1063858922,1070946497,1080828548,1089657975,1096483835,1104158530,1113372738,1124781253,1136499235,1148492360,1161631042,1173460850,1182855033,1190874485,1196905459,1200552857,1201840802,1200158363,1196901998,1192753228,1186954099,1179245862,1169247999,1158985312,1149030388,1138545730,1130367306,1125748631,1123700801,1123389901,1123802985,1125277083,1128826036,1133433237,1137730736,1140501358,1142608052,1144822778,1144721664,1141878431,1135734843,1126292560,1114293748,1100216547
IDA & IBRD total,IBT,"Population ages 0-14, total",SP.POP.0014.TO,918798725,933599594,955427063,986185053,1015959497,1042425132,1068261306,1091479056,1114916312,1139888093,1164021145,1188326980,1211136720,1233950397,1258590363,1282970274,1306746045,1325399891,1336582650,1347715405,1361469667,1376689911,1395251144,1413019850,1428897117,1445816043,1464266898,1484967116,1505976737,1527406741,1550012767,1571211482,1590491593,1608886327,1624772942,1638225501,1649804608,1658189649,1664487638,1669641833,1673121761,1674988090,1675193580,1675313450,1675552396,1675357176,1677786608,1683875840,1692707674,1703530046,1715123177,1727768938,1742454680,1757867803,1773053287,1786417913,1798853860,1811478064,1821978408,1829863029,1834504215,1835643781,1833600370,1829100642
IDA total,IDA,"Population ages 0-14, total",SP.POP.0014.TO,167413643,172293541,177417384,182875327,188646400,194560491,200554269,206692646,212986324,219404824,225852950,232161787,238707073,245737061,252870867,259918302,266996469,274156174,281656171,289605953,297610745,305743414,314422596,323361875,332413282,341657513,350894160,360185863,369477502,378914381,388381725,397750632,407636560,418011842,427867483,437672644,447963806,458031286,467585640,476888605,486167662,495742228,505945581,516328138,526522008,536811446,547419302,558127209,569006873,580140145,591320192,602491855,613628644,624434566,635322551,645916555,656245808,666655286,677256744,687984598,698769372,709351221,719306622,728884095
IDA blend,IDB,"Population ages 0-14, total",SP.POP.0014.TO,50541219,52053508,53680824,55454771,57355279,59306084,61271922,63256368,65266717,67312480,69387940,71474934,73610029,75827594,78116947,80485662,82940247,85486159,88121972,90892789,93950865,97199584,100495281,103778584,107135526,110671056,114264775,117916736,121596490,125261412,128927001,132586000,136289672,139880913,143274144,146635178,149925037,153090936,156174473,159227129,162405872,165719153,169045074,172416078,175810351,179216755,182768852,186590299,190688920,195025756,199493841,203956624,208317465,212535386,216572152,220342724,223833792,227144374,230305875,233339093,236293448,239136063,241807641,244237132
Indonesia,IDN,"Population ages 0-14, total",SP.POP.0014.TO,35103135,36334631,37657637,39076320,40605554,42091237,43515379,44995729,46467533,47910604,49309032,50646630,51926032,53162181,54328543,55428710,56489979,57504537,58499780,59478655,60407669,61270164,62088814,62872312,63589817,64180155,64616458,64967593,65290982,65600788,65846944,66036746,66188730,66277957,66338016,66395595,66473172,66555998,66600452,66578558,66558474,66623663,66733047,66820563,66891551,67076309,67372694,67726805,68099411,68432588,68774870,69163831,69584136,69958145,70288432,70595903,70850388,71016041,71091658,71097803,70996836,70781296,70471815,70113728
IDA only,IDX,"Population ages 0-14, total",SP.POP.0014.TO,116872424,120240033,123736560,127420556,131291121,135254407,139282347,143436278,147719607,152092344,156465010,160686853,165097044,169909467,174753920,179432640,184056222,188670015,193534199,198713164,203659880,208543830,213927315,219583291,225277756,230986457,236629385,242269127,247881012,253652969,259454724,265164632,271346888,278130929,284593339,291037466,298038769,304940350,311411167,317661476,323761790,330023075,336900507,343912060,350711657,357594691,364650450,371536910,378317953,385114389,391826351,398535231,405311179,411899180,418750399,425573831,432412016,439510912,446950869,454645505,462475924,470215158,477498981,484646963
Isle of Man,IMN,"Population ages 0-14, total",SP.POP.0014.TO,9739,9573,9505,9539,9620,9679,9761,9950,10226,10538,10884,11238,11576,11901,12183,12347,12428,12492,12517,12508,12457,12357,12240,12096,11897,11639,11462,11469,11567,11718,11924,12146,12356,12538,12651,12679,12748,12968,13239,13473,13606,13691,13797,13854,13817,13694,13624,13676,13765,13863,13966,13985,13900,13774,13613,13458,13333,13213,13085,12931,12734,12577,12435,12223
India,IND,"Population ages 0-14, total",SP.POP.0014.TO,176938244,182521794,188220929,194047088,199495689,204235429,208626765,212889543,217183636,221484821,225762508,230106748,234521728,239066717,243798058,248577214,253397499,258273523,263111810,268134748,273549976,279263189,285099388,291046206,297195853,303472999,309789593,316017297,322026543,327858064,333535230,338995019,344270138,349387193,354211596,358656131,362724782,366495931,369975223,373120146,376124150,379060195,381748169,384068630,386011104,387531538,388558967,389140657,389442234,389683642,389736560,389465834,388914981,387976221,386290188,383971739,381480646,378635655,375663468,372709109,369524878,366351802,363307647,360337993
Not classified,INX,"Population ages 0-14, total",SP.POP.0014.TO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,"Population ages 0-14, total",SP.POP.0014.TO,873971,874506,875856,880447,886835,893722,899713,902955,905396,910987,920849,933039,946421,961623,977845,992275,1003776,1013188,1022063,1029700,1036847,1044589,1049207,1050210,1046959,1035397,1021965,1008000,988842,968993,951745,938725,926912,911918,893268,873383,856967,844754,835803,830854,828803,828298,830797,837671,846845,857191,871202,892951,918118,941024,961656,978133,988388,994186,998407,1002362,1005907,1006836,1007496,1007228,1002124,996873,1005027,1009348
"Iran, Islamic Rep.",IRN,"Population ages 0-14, total",SP.POP.0014.TO,9343353,9757353,10162583,10563638,10929729,11260269,11596324,11941355,12290917,12646106,12999769,13337175,13652073,13952646,14258649,14591470,14976316,15427202,15946240,16552623,17242234,18032272,18894690,19774791,20678022,21589153,22501799,23402480,24257907,25042787,25746781,26328047,26701977,26761270,26555800,26168341,25602588,24882977,24055712,23178907,22286450,21407853,20494915,19736118,19236659,18853506,18574786,18328749,18140761,18090517,18150611,18285649,18476135,18738358,19081567,19490777,19919403,20317585,20635527,20816726,20855512,20831616,20788638,20693926
Iraq,IRQ,"Population ages 0-14, total",SP.POP.0014.TO,2794048,2870679,2993927,3144572,3294685,3450792,3607375,3758953,3909407,4067289,4245479,4440675,4662053,4911257,5156324,5395596,5626355,5828180,6010915,6187290,6366132,6545206,6717055,6900524,7095692,7240995,7390092,7561938,7708150,7883827,7948300,8001269,8211276,8585277,8975901,9250890,9518276,9784375,10064241,10360398,10667428,10962697,11265754,11555721,11827927,12109459,12118529,11943091,12102130,12470129,12803999,13211868,13782890,14397165,14846653,15165611,15417499,15627147,15836818,16028327,16212651,16393863,16564819,16718594
Iceland,ISL,"Population ages 0-14, total",SP.POP.0014.TO,61250,62593,63736,64714,65617,66360,67027,67635,67797,67425,66709,66139,66084,66187,66007,65530,64975,64247,63420,62941,62766,62667,62808,63187,63379,63256,63010,62822,62997,63336,63585,64007,64764,65533,65732,65323,64911,64698,64652,64904,65481,66063,66207,65963,65670,65472,65433,65751,66309,66563,66565,66461,66402,66665,66933,66801,66712,67149,67647,68048,68630,69377,70206,71023
Israel,ISR,"Population ages 0-14, total",SP.POP.0014.TO,745030,762200,798919,829292,860438,886546,903310,935936,947774,964234,987531,1009134,1027831,1068745,1102758,1130622,1159637,1189617,1216949,1248192,1275626,1296728,1317784,1340330,1356703,1376615,1390078,1403839,1418759,1432304,1456953,1520355,1552998,1580755,1610298,1638905,1665639,1693053,1718241,1747909,1780075,1810376,1838700,1868439,1899746,1930598,1962460,1996829,2033310,2086298,2132447,2179414,2225886,2271999,2318558,2366792,2414402,2461413,2505229,2546389,2583403,2618711,2657323,2694248
Italy,ITA,"Population ages 0-14, total",SP.POP.0014.TO,12555941,12610450,12589049,12580977,12638410,12744946,12861483,12990098,13110075,13213812,13286252,13321676,13373153,13442256,13484529,13472065,13402324,13286853,13113390,12868043,12563991,12230472,11903153,11583041,11257689,10933416,10595378,10255609,9937945,9631999,9338753,8946892,8645783,8536581,8387878,8294801,8253076,8195737,8161074,8140421,8128321,8113762,8127042,8149815,8164581,8183915,8189345,8207582,8251362,8296089,8320208,8317193,8318591,8383206,8405650,8324260,8217974,8107158,7986242,7779052,7623612,7459460,7311664,7164424
Jamaica,JAM,"Population ages 0-14, total",SP.POP.0014.TO,679369,697321,715831,735207,756080,775973,793008,808556,822501,834492,844777,852560,858113,862847,866158,866913,865633,863200,859793,856065,853253,852008,852235,854541,857963,860051,860036,858268,855136,852123,850964,852133,857499,865456,872329,877612,880884,881555,879214,874099,866852,858566,850204,841645,832546,822066,809203,793794,776678,758824,740697,722518,704540,687221,670892,655918,641651,626999,611785,596495,582202,568899,555900,543368
Jordan,JOR,"Population ages 0-14, total",SP.POP.0014.TO,393060,418397,443652,469649,499199,535187,578434,628561,683045,737197,786779,829802,866854,900215,931529,961301,989465,1017264,1045912,1076473,1111352,1150869,1194178,1240645,1289428,1340558,1394005,1449240,1506541,1567417,1628782,1686190,1743037,1802865,1864478,1925580,1983713,2036631,2082665,2122446,2157473,2188923,2219550,2251354,2284576,2317034,2439895,2557937,2584379,2605892,2626589,2656681,2660515,2786489,3072216,3322446,3448120,3490594,3526897,3551873,3568305,3584535,3585466,3572035
Japan,JPN,"Population ages 0-14, total",SP.POP.0014.TO,27809663,27407991,26576627,25722422,25027607,24572666,24071122,23763515,23774801,23884592,24049574,24582558,25087739,25653067,26166127,26604711,26927812,27172060,27344194,27421952,27371705,27396448,27322440,27014246,26659979,26188464,25553608,24801954,23957101,23079977,22251962,21564797,20989460,20470109,20014369,19620415,19279757,18988513,18725673,18464775,18240652,18077664,17938976,17813886,17684465,17571809,17475497,17400413,17330137,17230781,17124148,16988362,16842042,16682657,16508622,16330468,16168196,16008417,15840243,15660145,15430045,15142451,14838493,14505306
Kazakhstan,KAZ,"Population ages 0-14, total",SP.POP.0014.TO,3509492,3706558,3860447,3994221,4105220,4193441,4266896,4333276,4392094,4440068,4481437,4520210,4554289,4578574,4594703,4608069,4657063,4744089,4830336,4927070,4994203,5024252,5062567,5109241,5165905,5231094,5295597,5347346,5384648,5416268,5440978,5452943,5435641,5376159,5255644,5100518,4936598,4745715,4539037,4380690,4283930,4192730,4102383,4027685,3981482,3963072,3971591,4011216,4084591,4173956,4271819,4390800,4529835,4680698,4840498,5004557,5167266,5321838,5454536,5573399,5690830,5820837,5935559,6005327
Kenya,KEN,"Population ages 0-14, total",SP.POP.0014.TO,3749423,3919408,4098516,4284051,4473205,4683780,4915827,5150040,5385454,5622662,5861266,6098820,6333985,6566919,6798672,7031761,7266829,7505103,7748495,7997264,8252674,8516465,8789523,9071803,9363650,9664721,9973574,10290678,10614537,10940505,11262592,11571910,11866474,12148998,12422812,12694595,12965601,13237991,13520245,13813958,14119545,14442819,14780619,15129857,15495961,15883084,16295567,16736956,17204314,17683860,18147718,18570221,18946960,19271904,19545801,19776680,19989341,20177776,20310254,20413998,20513146,20589148,20654588,20722869
Kyrgyz Republic,KGZ,"Population ages 0-14, total",SP.POP.0014.TO,837992,889952,934910,978970,1021695,1056774,1088060,1117485,1145717,1171690,1194172,1217070,1241717,1264303,1286140,1305285,1322335,1337764,1351505,1366248,1381725,1399930,1422724,1449904,1475185,1497391,1523132,1552040,1580784,1614471,1647366,1677232,1699068,1713398,1723849,1732633,1740066,1740808,1736997,1732025,1723740,1708636,1690936,1677009,1668415,1660531,1652483,1642558,1632390,1634916,1653942,1686875,1738566,1798608,1858763,1920877,1979359,2029513,2083369,2149011,2211366,2261409,2296388,2319607
Cambodia,KHM,"Population ages 0-14, total",SP.POP.0014.TO,2383861,2442222,2503065,2564006,2621550,2677144,2732949,2788814,2844532,2900216,2945675,2980767,3015829,3043549,3048536,2951089,2743388,2504896,2283040,2187971,2210295,2256427,2317282,2392667,2478645,2570323,2673702,2789205,2914211,3055149,3221953,3417369,3650950,3903945,4248785,4650623,4985827,5257339,5370106,5345838,5302468,5254471,5207425,5159132,5105752,5051483,4991587,4925662,4870800,4838767,4824855,4825253,4846444,4885877,4934539,4988448,5045373,5095907,5131040,5162546,5197910,5224909,5238685,5246427
Kiribati,KIR,"Population ages 0-14, total",SP.POP.0014.TO,20379,21045,21705,22327,22901,23476,24000,24461,24909,25352,25820,26297,26757,27110,27059,26657,26220,25784,25347,25129,25128,25138,25205,25348,25595,26042,26710,27492,28327,29199,30071,30906,31674,32363,32945,33464,33999,34504,34939,35285,35567,35911,36296,36616,36930,37273,37625,38037,38561,39173,39796,40237,40486,40687,40861,41080,41489,42095,42804,43541,44361,45145,45768,46291
St. Kitts and Nevis,KNA,"Population ages 0-14, total",SP.POP.0014.TO,25460,25301,24955,24557,24136,23702,23277,22855,22393,21793,21032,20235,19492,18814,18204,17675,17220,16828,16488,16169,15832,15466,15123,14844,14616,14428,14263,14122,14009,13914,13830,13746,13662,13576,13490,13414,13346,13292,13254,13236,13241,13166,12934,12636,12338,12051,11801,11604,11438,11237,10898,10629,10462,10219,9959,9714,9512,9346,9200,9070,8936,8799,8678,8573
"Korea, Rep.",KOR,"Population ages 0-14, total",SP.POP.0014.TO,10332419,10757896,11202467,11650482,12065964,12442557,12790794,13057089,13280833,13471698,13588367,13662381,13730415,13742062,13696888,13592778,13436329,13285055,13145942,13045164,12974031,12910193,12864002,12781480,12596922,12320644,12026495,11743703,11489981,11266871,11071681,10914246,10795252,10696739,10585785,10432790,10260839,10110469,9977802,9890321,9862347,9833341,9753180,9640357,9485654,9273041,9056235,8817598,8592424,8353177,8121287,7886192,7624373,7393473,7205776,7021613,6840334,6685155,6557604,6424225,6279784,6108800,5898041,5673297
Kuwait,KWT,"Population ages 0-14, total",SP.POP.0014.TO,116467,130749,147567,166702,187084,208636,233046,260940,291046,322410,353053,379575,402764,426046,449929,474897,498836,521403,544632,568243,592054,613915,634173,654941,676022,696212,721607,752683,781733,808582,607237,474644,565609,565539,555678,561009,571214,577380,579279,577910,574191,569068,563417,557725,551887,557264,578653,604290,628892,652064,676896,704106,736078,771371,804132,836213,865247,888468,911252,923006,907317,876033,881941,902874
Latin America & Caribbean (excluding high income),LAC,"Population ages 0-14, total",SP.POP.0014.TO,84059847,86748921,89456507,92146393,94780561,97358763,99887702,102345599,104734947,107070299,109343179,111566578,113751336,115895073,117976384,119979054,121929095,123844730,125734754,127592708,129436873,131176735,132856727,134602619,136348483,138039843,139648615,141156046,142582597,143932731,145171092,146278591,147276399,148182753,148991173,149697825,150272188,150707620,151055614,151315817,151448878,151425611,151256259,150958303,150542048,150038946,149458945,148844921,148211578,147544679,146837944,146146936,145481938,144784670,144084802,143380001,142645633,141925932,141285426,140619432,139776270,138816510,137807431,136739331
Lao PDR,LAO,"Population ages 0-14, total",SP.POP.0014.TO,886228,907922,929925,952733,977927,1002581,1025314,1049094,1074024,1100161,1127729,1156566,1186626,1218022,1250536,1283608,1316427,1348699,1380706,1413071,1446706,1482234,1520000,1560161,1602615,1646935,1692666,1739924,1788983,1839622,1891907,1946048,2001615,2058255,2113946,2165811,2213165,2255306,2291598,2322505,2347625,2367695,2383194,2393966,2400458,2401432,2387094,2361160,2336750,2315592,2298771,2285768,2275941,2268058,2260251,2260445,2270254,2282816,2296781,2310312,2322023,2330647,2337011,2342243
Lebanon,LBN,"Population ages 0-14, total",SP.POP.0014.TO,760638,796710,833496,868913,901720,927999,949493,969326,988477,1007449,1023732,1040011,1056803,1072779,1087578,1101607,1107338,1111809,1123668,1135359,1148567,1163548,1173184,1181587,1196802,1214471,1238661,1262859,1280299,1299696,1320000,1339078,1355322,1366257,1372902,1377285,1380463,1382081,1382221,1381784,1381253,1380149,1374461,1366807,1360106,1351089,1344824,1343399,1340208,1336010,1331392,1332032,1356917,1477779,1622906,1669645,1668708,1659937,1643369,1617172,1593624,1578180,1561661,1542437
Liberia,LBR,"Population ages 0-14, total",SP.POP.0014.TO,467882,480024,493559,508756,525264,542155,559051,576220,593742,611618,629621,647490,665812,685164,705453,726685,748922,772267,796834,822667,849392,876607,904181,932379,961500,991333,1021790,1052076,1081532,1110290,981069,864372,913338,946820,940909,945562,969758,1045072,1153734,1216744,1260354,1295876,1328624,1338794,1355331,1418828,1503273,1583458,1648940,1699980,1748954,1801524,1853604,1898811,1939160,1975562,2010030,2043035,2074640,2104096,2130681,2154008,2175330,2197035
Libya,LBY,"Population ages 0-14, total",SP.POP.0014.TO,650627,687739,727300,769129,807687,848219,894458,939256,981879,1021978,1059011,1095912,1133583,1160695,1197916,1257303,1321259,1389785,1465633,1548127,1633578,1721354,1761496,1740528,1741420,1774085,1801321,1822922,1839130,1849238,1853020,1850562,1841480,1825923,1805009,1780531,1754948,1730643,1711421,1696111,1695001,1711066,1732574,1759137,1790266,1824486,1849903,1867828,1889696,1914449,1943813,1946791,1946282,1973601,2001606,2026539,2046967,2062806,2073192,2077178,2075772,2069873,2059522,2042749
St. Lucia,LCA,"Population ages 0-14, total",SP.POP.0014.TO,43591,44970,46232,47345,48332,49220,49595,49709,50181,50901,51797,52689,53412,53995,54462,54804,55032,54680,53932,53427,53390,53689,53992,54408,54971,55622,56221,56692,56237,54923,53625,53128,53408,53677,54010,54389,54524,54436,53735,52502,51335,50384,49658,48880,48016,47069,46066,44918,43699,42585,41510,40370,39257,38291,37393,36517,35710,35025,34437,33893,33393,32942,32505,32039
Latin America & Caribbean,LCN,"Population ages 0-14, total",SP.POP.0014.TO,94222060,97177101,100147218,103099963,105988450,108809715,111569558,114242590,116832880,119354185,121796016,124175938,126508304,128794922,131014870,133151305,135231544,137272411,139284362,141262332,143226626,145082722,146881668,148752385,150629388,152458302,154212971,155874632,157459386,158967931,160362767,161619226,162753791,163784994,164706164,165514333,166181834,166694245,167099664,167398742,167549790,167527666,167342517,167010238,166542596,165967194,165324992,164649341,163959217,163237422,162474976,161725663,161010476,160266985,159517342,158759513,157951324,157107105,156252856,155341404,154254072,153023896,151752251,150436619
Least developed countries: UN classification,LDC,"Population ages 0-14, total",SP.POP.0014.TO,103935439,106781392,109773259,112957442,116325730,119788923,123319929,126971753,130740502,134586592,138438120,142149858,146053273,150365596,154714371,158890449,163006314,167112766,171456008,176094920,180488028,184815187,189662118,194804288,200001296,205223940,210364909,215489527,220587938,225849784,231163581,236408933,242176292,248592313,254718177,260812468,267445269,274025796,280230493,286202650,292023708,298068759,304773144,311622144,318246072,324953639,331793916,338399798,345042536,351835894,358499686,365131947,371858477,378720486,385620184,392385775,399169817,406262620,413710188,421394036,429228560,436985962,444359627,451649329
Low income,LIC,"Population ages 0-14, total",SP.POP.0014.TO,58004499,59445627,60959561,62613837,64408667,66303951,68335472,70532868,72811605,75105060,77441800,79841607,82255712,84712619,87180442,89625907,92144054,94631945,97262432,99989649,102295555,104396175,106886652,109656534,112519946,115463341,118441592,121557170,124799046,128301483,131860617,135402815,139528262,144308265,148723442,153101708,158154470,163229901,168052509,172805923,177415280,182067079,187241990,192580465,197754804,203070696,208608016,214009486,219482303,225135379,230721205,236302275,241934115,247566872,253138023,258575981,264034414,269641714,275438226,281450914,287587061,293627833,299446595,305316411
Liechtenstein,LIE,"Population ages 0-14, total",SP.POP.0014.TO,4754,4844,4977,5141,5303,5407,5505,5641,5825,5903,5916,6005,6068,6142,6214,6190,6112,6086,6080,6063,5905,5838,5899,5818,5705,5624,5566,5520,5495,5478,5480,5521,5593,5685,5764,5811,5841,5856,5914,5986,6015,6079,6140,6140,6122,6085,6027,5958,5888,5852,5802,5752,5716,5655,5631,5612,5599,5595,5610,5649,5670,5679,5690,5717
Sri Lanka,LKA,"Population ages 0-14, total",SP.POP.0014.TO,3957577,4053124,4142315,4230466,4325805,4425992,4522619,4617168,4710217,4797827,4879855,4954916,5020209,5072797,5112367,5147706,5187913,5233310,5286182,5347773,5410443,5469172,5504562,5505938,5488557,5466805,5445472,5417873,5384778,5356201,5321926,5282394,5251016,5212666,5159423,5128652,5128553,5140998,5166610,5191104,5209379,5218782,5214704,5210060,5213689,5223446,5239778,5259469,5278483,5294622,5307368,5318138,5330135,5151803,5167952,5178097,5191612,5195685,5190622,5157388,5115336,5099423,5032936,4927754
Lower middle income,LMC,"Population ages 0-14, total",SP.POP.0014.TO,339619208,350472173,361585049,373106408,384312951,394736868,404844205,414827311,424814886,434820241,444740935,454544176,464564471,475050094,485761688,496457721,507259588,518269545,529393727,541083635,553737114,567133572,580904589,594878355,609167470,623709611,638183594,652385191,666203713,679770110,694162491,707284955,720038429,732284048,743877609,754914438,765217927,774789355,783622818,791799031,799858896,808106139,816234659,824017445,831371299,838200783,844842107,851547955,858223059,865021148,871852523,878560720,885093073,891308829,897183729,901967949,906048087,909676375,912921190,915684087,917816654,919518359,920636649,921201413
Low & middle income,LMY,"Population ages 0-14, total",SP.POP.0014.TO,861937669,875595226,896953068,927561988,957627789,984707266,1011498007,1035696653,1060051371,1085997094,1111252737,1136606752,1160237475,1183749900,1208926204,1233663949,1257575511,1276167064,1287123840,1297779110,1310757391,1325104124,1342793661,1359650066,1374539289,1390526366,1408138043,1428066610,1448462493,1469620260,1493398477,1515067478,1535163924,1554551668,1571411800,1585914785,1598598859,1608188534,1615936509,1622680708,1627839991,1631411701,1633215986,1634639701,1635965506,1636671019,1639756280,1646207460,1655074150,1665744427,1677136144,1689392802,1703523524,1718325835,1732876816,1745617545,1757491257,1769739680,1780168560,1788161238,1793058994,1794675786,1793162774,1789393010
Lesotho,LSO,"Population ages 0-14, total",SP.POP.0014.TO,332527,343279,353902,363787,372402,382402,395719,409211,421363,433049,444455,455770,467153,478801,491185,504827,519348,535104,552858,572156,592353,612993,633929,655101,676388,697717,710818,723151,742520,760561,776551,790239,801571,810178,815972,819578,821528,819746,813493,804520,793641,782019,769811,756984,743718,730166,721088,719177,721199,724922,729462,735514,742892,751322,760997,770859,780011,787218,792468,796970,801334,805043,806922,807250
Late-demographic dividend,LTE,"Population ages 0-14, total",SP.POP.0014.TO,428220458,427698738,433837521,448459162,462259650,473460938,484343718,492553684,500826701,510559883,519568832,528882328,536396208,543317784,551848243,560119189,567577028,569833865,564353369,557997607,553617867,550275514,549595280,547566397,543216424,539737879,537979314,538647077,539993762,542019083,545608532,548585399,549733686,550062547,549194686,546805317,542938750,536905195,530134925,523127304,514721784,504547639,492341456,480071219,468182295,455813066,446051579,440315585,436571476,433995595,431994329,431033413,432025806,433929664,436453070,438412919,440375579,443282005,444447389,443412839,440084872,434060631,426391559,417018202
