Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bulgaria,BGR,"Population ages 0-14, total",SP.POP.0014.TO,2052066,2048368,2038908,2027254,2009764,1985832,1963958,1948359,1939323,1939989,1937590,1929629,1921552,1919800,1929917,1940960,1949037,1957639,1955249,1954809,1962144,1966882,1971518,1967734,1954812,1936795,1920090,1909082,1895577,1843700,1771011,1711726,1647905,1592956,1549350,1503869,1459095,1412349,1363669,1319842,1280627,1219512,1157380,1116621,1078986,1046981,1023078,1007658,998333,995147,995218,993154,990607,993138,997239,998268,999671,1002747,1004658,1003603,1000700,996122,965888,937219
Bahrain,BHR,"Population ages 0-14, total",SP.POP.0014.TO,70718,73948,77423,81240,85459,89793,94038,98235,101096,101993,101761,102472,104958,107673,110189,112635,115136,117793,120630,123645,126776,129886,132938,136143,139744,143865,148577,153900,159815,166226,172821,169271,173017,175582,177658,179682,181740,183708,185631,187608,189691,191353,196177,200097,204828,211030,218891,228410,234650,242535,250399,243511,240255,247624,267257,281036,286002,296912,298263,298242,292889,290209,290896,299513
"Bahamas, The",BHS,"Population ages 0-14, total",SP.POP.0014.TO,47813,50044,52490,55068,57626,60204,62946,65811,68760,71678,74210,76297,78128,79676,80921,81845,82453,82763,82773,82502,82026,81436,80796,80164,79585,79111,78779,78635,78730,79098,79713,80517,81760,83303,84700,85970,87146,88180,89043,89675,90072,90225,90136,89881,89500,89032,88571,87899,87006,86328,85669,84840,84022,83271,82633,81983,81208,80326,79381,78342,77141,75859,74543,73210
Bosnia and Herzegovina,BIH,"Population ages 0-14, total",SP.POP.0014.TO,1252346,1288593,1316346,1335540,1349102,1358545,1363623,1363487,1356940,1344229,1327411,1310853,1296422,1281688,1265715,1248798,1231345,1213710,1196247,1179454,1164345,1149610,1137309,1130218,1126186,1123190,1119684,1115350,1109936,1102531,1093335,1083212,1046870,994271,951611,921932,909932,899017,879906,854543,826358,798177,770697,743456,716156,690786,667676,644549,624327,608312,593649,576683,555076,533551,516379,502413,490231,478730,468044,457805,447502,437477,428690,421064
Belarus,BLR,"Population ages 0-14, total",SP.POP.0014.TO,2528777,2581269,2609034,2623662,2626360,2624206,2624458,2627300,2630224,2622964,2590389,2543251,2495436,2444517,2393585,2344909,2300866,2264507,2234909,2216723,2211733,2212580,2219606,2236926,2261178,2285075,2307910,2326824,2339932,2351092,2350954,2342627,2330935,2312072,2274805,2223006,2163674,2097238,2014718,1930912,1858272,1781785,1703550,1628929,1559518,1500903,1457152,1427754,1409963,1404406,1408171,1419734,1442468,1471214,1499883,1529756,1559410,1580950,1592244,1598856,1598981,1588237,1565067,1530507
Belize,BLZ,"Population ages 0-14, total",SP.POP.0014.TO,41015,42530,44164,45982,47953,50018,52151,54305,56423,58317,59407,59807,60082,60296,60498,60908,61533,62155,62807,63605,64693,66112,67719,69425,71299,73241,75039,76666,78215,79739,81191,82469,83674,84837,85915,87123,88574,90254,92135,94125,96085,98051,100097,102130,104121,106094,108012,109852,111593,113165,113819,113700,113645,113611,113545,113445,113429,113524,113657,113498,112924,111947,111198,110968
Bermuda,BMU,"Population ages 0-14, total",SP.POP.0014.TO,14148,14418,14654,14876,15068,15205,15288,15302,15326,15397,15401,15285,15100,14866,14580,14239,13780,13276,12845,12468,12206,12046,11924,11871,11831,11775,11716,11580,11422,11335,11312,11409,11585,11738,11858,11936,11973,11937,11855,11803,11799,11830,11850,11842,11797,11714,11594,11330,10990,10720,10601,10562,10461,10254,9970,9713,9556,9487,9425,9372,9328,9266,9147,8979
Bolivia,BOL,"Population ages 0-14, total",SP.POP.0014.TO,1501375,1531053,1561967,1596481,1635296,1675556,1716270,1758618,1802406,1847046,1892026,1937359,1982822,2028511,2074839,2121511,2169625,2219219,2269056,2318956,2369010,2419152,2468739,2517604,2566565,2615625,2665049,2715943,2768174,2820871,2873715,2925993,2975762,3019882,3059687,3098382,3136236,3172584,3207249,3241141,3273361,3302385,3330133,3356924,3380703,3402111,3423118,3444603,3465769,3486408,3506438,3525339,3543825,3561892,3577951,3593036,3608600,3624338,3639193,3652807,3665443,3675479,3683354,3690683
Brazil,BRA,"Population ages 0-14, total",SP.POP.0014.TO,31985409,33077123,34156222,35199740,36174206,37078105,37924842,38699138,39403223,40056045,40678400,41280649,41867792,42441773,42993049,43533026,44086515,44659512,45256576,45889027,46570494,47302653,48077010,48878101,49669417,50417024,51101030,51698493,52197411,52610767,52931717,53140752,53240598,53250828,53191341,53079209,52921583,52726552,52519209,52286716,52002245,51664930,51289358,50883636,50470948,50081212,49695918,49296507,48859597,48377114,47859396,47315485,46756997,46185144,45647976,45179762,44740040,44337528,44009118,43689729,43311094,42896280,42487105,42092915
Barbados,BRB,"Population ages 0-14, total",SP.POP.0014.TO,85920,86726,87264,88040,88932,89878,90815,91235,91123,90735,89766,88844,88250,87454,86321,84519,82556,80654,78181,75474,72963,70671,68951,67736,66750,66052,65358,64577,63853,63284,62692,62043,61532,61118,60728,60337,59905,59342,58650,57998,57385,57048,57060,57061,56894,56499,55978,55537,55426,55503,55487,55336,55036,54627,54128,53522,52869,52276,51762,51292,50879,50505,50042,49372
